"samplesize","lower_bound","upper_bound"
1,"0","9.7843137254902"
2,"0","3.77070063694268"
3,"0","1.52777777777778"
4,"0","0.952542372881356"
5,"0","0.663793103448276"
6,"0","0.649732620320856"
7,"0","0.425496688741722"
8,"0","0.351170568561873"
9,"0","0.32972972972973"
10,"0","0.270175438596491"
11,"0","0.241622574955908"
12,"0","0.2953125"
13,"0","0.227606461086637"
14,"0","0.182432432432432"
15,"0","0.216386554621849"
16,"0","0.192164179104478"
17,"0","0.167241379310345"
18,"0","0.175257731958763"
19,"0","0.170807453416149"
20,"0","0.133105802047782"
21,"0","0.150882825040128"
22,"0","0.150268336314848"
23,"0","0.133699633699634"
24,"0","0.140916808149406"
25,"0","0.122516556291391"
26,"0","0.138364779874214"
27,"0","0.118858954041204"
28,"0","0.107394366197183"
29,"0","0.107644305772231"
30,"0","0.101045296167247"
31,"0","0.0981012658227848"
32,"0","0.129032258064516"
33,"0","0.0862354892205638"
34,"0","0.0980392156862745"
35,"0","0.0847457627118644"
36,"0","0.0941780821917808"
37,"0","0.077834179357022"
38,"0","0.0854838709677419"
39,"0","0.0837282780410742"
40,"0","0.07426597582038"
41,"0","0.0769230769230769"
42,"0","0.0703764320785597"
43,"0","0.0708661417322835"
44,"0","0.0865384615384615"
45,"0","0.0647249190938511"
46,"0","0.0715474209650582"
47,"0","0.0628019323671498"
48,"0","0.0604575163398693"
49,"0","0.06070826306914"
50,"0","0.0612959719789842"
51,"0","0.059504132231405"
52,"0","0.0590979782270607"
53,"0","0.064891846921797"
54,"0","0.0676818950930626"
55,"0","0.0612244897959184"
56,"0","0.0544871794871795"
57,"0","0.0580204778156997"
58,"0","0.0580645161290323"
59,"0","0.0478632478632479"
60,"0","0.0511073253833049"
61,"0","0.0566371681415929"
62,"0","0.05"
63,"0","0.0476190476190476"
64,"0","0.0460526315789474"
65,"0","0.0501618122977346"
66,"0","0.0507364975450082"
67,"0","0.0472175379426644"
68,"0","0.0455284552845528"
69,"0","0.043338683788122"
70,"0","0.0477001703577513"
71,"0","0.0455927051671733"
72,"0","0.0461285008237232"
73,"0","0.0456081081081081"
74,"0","0.0419463087248322"
75,"0","0.0415944540727903"
76,"0","0.0405616224648986"
77,"0","0.0422297297297297"
78,"0","0.0395189003436426"
79,"0","0.0388978930307942"
80,"0","0.0539730134932534"
81,"0","0.0480274442538593"
82,"0","0.0390070921985816"
83,"0","0.0365853658536585"
84,"0","0.0331588132635253"
85,"0","0.0394088669950739"
86,"0","0.0396039603960396"
87,"0","0.0388513513513514"
88,"0","0.0333889816360601"
89,"0","0.0355329949238579"
90,"0","0.0339256865912763"
91,"0","0.0357723577235772"
92,"0","0.0340909090909091"
93,"0","0.0332278481012658"
94,"0","0.0388349514563107"
95,"0","0.0345394736842105"
96,"0","0.0384615384615385"
97,"0","0.0297723292469352"
98,"0","0.031496062992126"
99,"0","0.0319715808170515"
100,"0","0.0395869191049914"
101,"0","0.035"
102,"0","0.0315955766192733"
103,"0","0.0289115646258503"
104,"0","0.0293103448275862"
105,"0","0.033500837520938"
106,"0","0.0283806343906511"
107,"0","0.0288624787775891"
108,"0","0.0295081967213115"
109,"0","0.0297029702970297"
110,"0","0.0294599018003273"
111,"0","0.0313531353135314"
112,"0","0.0271186440677966"
113,"0","0.0249584026622296"
114,"0","0.0284280936454849"
115,"0","0.0303030303030303"
116,"0","0.0287162162162162"
117,"0","0.0307167235494881"
118,"0","0.0272572402044293"
119,"0","0.0296540362438221"
120,"0","0.0267558528428094"
121,"0","0.0245499181669394"
122,"0","0.0305602716468591"
123,"0","0.0274914089347079"
124,"0","0.0221843003412969"
125,"0","0.0262295081967213"
126,"0","0.0218855218855219"
127,"0","0.027823240589198"
128,"0","0.0235690235690236"
129,"0","0.0245901639344262"
130,"0","0.0253378378378378"
131,"0","0.0260586319218241"
132,"0","0.0226537216828479"
133,"0","0.0263620386643234"
134,"0","0.0233333333333333"
135,"0","0.0244299674267101"
136,"0","0.0212071778140294"
137,"0","0.0247116968698517"
138,"0","0.0246305418719212"
139,"0","0.0261011419249592"
140,"0","0.0221870047543582"
141,"0","0.0228384991843393"
142,"0","0.0229885057471264"
143,"0","0.0228070175438597"
144,"0","0.0227670753064799"
145,"0","0.0238473767885533"
146,"0","0.0220820189274448"
147,"0","0.0247116968698517"
148,"0","0.0201342281879195"
149,"0","0.0214168039538715"
150,"0","0.0205128205128205"
