"samplesize","lower_bound","upper_bound"
1,"0","3.85987261146497"
2,"0","0.973684210526316"
3,"0","0.859106529209622"
4,"0","0.405940594059406"
5,"0","0.324116743471582"
6,"0","0.266839378238342"
7,"0","0.227474150664697"
8,"0","0.218068535825545"
9,"0","0.179435483870968"
10,"0","0.189406099518459"
11,"0","0.14161220043573"
12,"0","0.141496598639456"
13,"0","0.125352112676056"
14,"0","0.105"
15,"0","0.0996621621621622"
16,"0","0.101063829787234"
17,"0","0.0926517571884984"
18,"0","0.0792452830188679"
19,"0","0.0994854202401372"
20,"0","0.0795454545454545"
21,"0","0.0710059171597633"
22,"0","0.0677083333333333"
23,"0","0.0744500846023689"
24,"0","0.0793650793650794"
25,"0","0.0626057529610829"
26,"0","0.0570987654320988"
27,"0","0.0507462686567164"
28,"0","0.0553571428571429"
29,"0","0.0629251700680272"
30,"0","0.0521172638436482"
31,"0","0.0513698630136986"
32,"0","0.050314465408805"
33,"0","0.0629370629370629"
34,"0","0.0404217926186292"
35,"0","0.0465890183028286"
36,"0","0.0627118644067797"
37,"0","0.0387596899224806"
38,"0","0.0430879712746858"
39,"0","0.0499194847020934"
40,"0","0.0427892234548336"
41,"0","0.0339506172839506"
42,"0","0.0395136778115502"
43,"0","0.0351170568561873"
44,"0","0.0401396160558464"
45,"0","0.0376432078559738"
46,"0","0.0322061191626409"
47,"0","0.0286624203821656"
48,"0","0.0470588235294118"
49,"0","0.033167495854063"
50,"0","0.0326594090202177"
51,"0","0.0340356564019449"
52,"0","0.0356536502546689"
53,"0","0.0458404074702886"
54,"0","0.0308641975308642"
55,"0","0.0308747855917667"
56,"0","0.0352112676056338"
57,"0","0.0215384615384615"
58,"0","0.0289389067524116"
59,"0","0.0310965630114566"
60,"0","0.0317460317460317"
61,"0","0.0305466237942122"
62,"0","0.0315614617940199"
63,"0","0.0289115646258503"
64,"0","0.0226876090750436"
65,"0","0.0267295597484277"
66,"0","0.0259067357512953"
67,"0","0.0356536502546689"
68,"0","0.0262237762237762"
69,"0","0.0258064516129032"
70,"0","0.0257731958762887"
71,"0","0.0248344370860927"
72,"0","0.0310880829015544"
73,"0","0.024390243902439"
74,"0","0.0250836120401338"
75,"0","0.0210016155088853"
76,"0","0.0285234899328859"
77,"0","0.0276872964169381"
78,"0","0.022108843537415"
79,"0","0.0198347107438017"
80,"0","0.0220125786163522"
81,"0","0.0223285486443381"
82,"0","0.0234113712374582"
83,"0","0.0201005025125628"
84,"0","0.0192926045016077"
85,"0","0.0186125211505922"
86,"0","0.0234375"
87,"0","0.017515923566879"
88,"0","0.02"
89,"0","0.015600624024961"
90,"0","0.0195035460992908"
91,"0","0.0172413793103448"
92,"0","0.0193661971830986"
93,"0","0.0205479452054795"
94,"0","0.0184873949579832"
95,"0","0.0168634064080944"
96,"0","0.0181518151815182"
97,"0","0.0146341463414634"
98,"0","0.0238473767885533"
99,"0","0.0187207488299532"
100,"0","0.0144927536231884"
101,"0","0.0170940170940171"
102,"0","0.0219224283305228"
103,"0","0.0149750415973378"
104,"0","0.0199335548172757"
105,"0","0.0146818923327896"
106,"0","0.0196399345335516"
107,"0","0.0143312101910828"
108,"0","0.015025041736227"
109,"0","0.0181818181818182"
110,"0","0.0196078431372549"
111,"0","0.0154109589041096"
112,"0","0.01669449081803"
113,"0","0.0137221269296741"
114,"0","0.0123674911660777"
115,"0","0.0179738562091503"
116,"0","0.0132890365448505"
117,"0","0.012779552715655"
118,"0","0.0220338983050847"
119,"0","0.0116279069767442"
120,"0","0.014218009478673"
121,"0","0.015358361774744"
122,"0","0.0143884892086331"
123,"0","0.013355592654424"
124,"0","0.0137221269296741"
125,"0","0.0183946488294314"
126,"0","0.0110935023771791"
127,"0","0.0172711571675302"
128,"0","0.0137931034482759"
129,"0","0.0130932896890344"
130,"0","0.0161030595813204"
131,"0","0.0167224080267559"
132,"0","0.0121951219512195"
133,"0","0.0149006622516556"
134,"0","0.0138169257340242"
135,"0","0.0177133655394525"
136,"0","0.0124555160142349"
137,"0","0.0116086235489221"
138,"0","0.0147058823529412"
139,"0","0.0128617363344051"
140,"0","0.011686143572621"
141,"0","0.0103626943005181"
142,"0","0.014827018121911"
143,"0","0.0103448275862069"
144,"0","0.0115894039735099"
145,"0","0.0101867572156197"
146,"0","0.0152027027027027"
147,"0","0.00946372239747634"
148,"0","0.00871080139372822"
149,"0","0.00865051903114187"
150,"0","0.0116472545757072"
