"samplesize","lower_bound","upper_bound"
1,"0","9.95833333333333"
2,"0","2.04"
3,"0","1.10746268656716"
4,"0","0.741666666666667"
5,"0","0.49738219895288"
6,"0","0.361486486486487"
7,"0","0.302739726027397"
8,"0","0.274961597542243"
9,"0","0.271304347826087"
10,"0","0.274678111587983"
11,"0","0.221848739495798"
12,"0","0.197158081705151"
13,"0","0.182468694096601"
14,"0","0.17921686746988"
15,"0","0.155555555555556"
16,"0","0.149914821124361"
17,"0","0.145510835913313"
18,"0","0.148148148148148"
19,"0","0.126050420168067"
20,"0","0.144215530903328"
21,"0","0.117363344051447"
22,"0","0.110769230769231"
23,"0","0.115625"
24,"0","0.108474576271186"
25,"0","0.101307189542484"
26,"0","0.100977198697068"
27,"0","0.0998487140695915"
28,"0","0.114186851211073"
29,"0","0.102693602693603"
30,"0","0.0849478390461997"
31,"0","0.0932203389830508"
32,"0","0.0815972222222222"
33,"0","0.0758620689655172"
34,"0","0.0858676207513417"
35,"0","0.0741935483870968"
36,"0","0.0628183361629881"
37,"0","0.0643382352941176"
38,"0","0.0660225442834139"
39,"0","0.0721476510067114"
40,"0","0.0751633986928105"
41,"0","0.0653495440729483"
42,"0","0.0577249575551783"
43,"0","0.0619621342512909"
44,"0","0.068561872909699"
45,"0","0.0525502318392581"
46,"0","0.0551601423487545"
47,"0","0.0566343042071197"
48,"0","0.0545454545454545"
49,"0","0.0477815699658703"
50,"0","0.0562180579216354"
51,"0","0.0562913907284768"
52,"0","0.0448504983388704"
53,"0","0.0482758620689655"
54,"0","0.0553691275167785"
55,"0","0.0476190476190476"
56,"0","0.0505050505050505"
57,"0","0.0573248407643312"
58,"0","0.0470588235294118"
59,"0","0.0514950166112957"
60,"0","0.0431778929188256"
61,"0","0.0463576158940397"
62,"0","0.0391156462585034"
63,"0","0.0464344941956882"
64,"0","0.0404984423676012"
65,"0","0.0403225806451613"
66,"0","0.0403225806451613"
67,"0","0.038961038961039"
68,"0","0.0429553264604811"
69,"0","0.0401929260450161"
70,"0","0.0369718309859155"
71,"0","0.0362068965517241"
72,"0","0.0340715502555366"
73,"0","0.0346534653465347"
74,"0","0.0352941176470588"
75,"0","0.0315091210613599"
76,"0","0.0385852090032154"
77,"0","0.0344827586206897"
78,"0","0.0310344827586207"
79,"0","0.0313971742543171"
80,"0","0.0324675324675325"
81,"0","0.0296684118673647"
82,"0","0.0371621621621622"
83,"0","0.0384615384615385"
84,"0","0.0269814502529511"
85,"0","0.0295138888888889"
86,"0","0.0285204991087344"
87,"0","0.0333863275039746"
88,"0","0.0284280936454849"
89,"0","0.0291858678955453"
90,"0","0.0274914089347079"
91,"0","0.0250417362270451"
92,"0","0.0304568527918782"
93,"0","0.0331230283911672"
94,"0","0.0303030303030303"
95,"0","0.033112582781457"
96,"0","0.0255972696245734"
97,"0","0.024866785079929"
98,"0","0.0287162162162162"
99,"0","0.0280528052805281"
100,"0","0.0247349823321555"
101,"0","0.0336538461538462"
102,"0","0.024"
103,"0","0.0291734197730956"
104,"0","0.0284757118927973"
105,"0","0.0254237288135593"
106,"0","0.0289855072463768"
107,"0","0.0250836120401338"
108,"0","0.0267111853088481"
109,"0","0.0229132569558101"
110,"0","0.0258064516129032"
111,"0","0.0231788079470199"
112,"0","0.0239234449760766"
113,"0","0.027027027027027"
114,"0","0.0221843003412969"
115,"0","0.0224358974358974"
116,"0","0.0240549828178694"
117,"0","0.0248344370860927"
118,"0","0.0203125"
119,"0","0.0224525043177893"
120,"0","0.028006589785832"
121,"0","0.028099173553719"
122,"0","0.0229508196721311"
123,"0","0.0220338983050847"
124,"0","0.0223367697594502"
125,"0","0.0234505862646566"
126,"0","0.0222929936305732"
127,"0","0.0189328743545611"
128,"0","0.020066889632107"
129,"0","0.021630615640599"
130,"0","0.0186915887850467"
131,"0","0.020066889632107"
132,"0","0.0217391304347826"
133,"0","0.0182421227197347"
134,"0","0.0197693574958814"
135,"0","0.0184254606365159"
136,"0","0.0178571428571429"
137,"0","0.0214521452145215"
138,"0","0.0209059233449477"
139,"0","0.0188034188034188"
140,"0","0.0169204737732657"
141,"0","0.0199004975124378"
142,"0","0.0201680672268908"
143,"0","0.0194489465153971"
144,"0","0.0187074829931973"
145,"0","0.0199335548172757"
146,"0","0.0176848874598071"
147,"0","0.0185497470489039"
148,"0","0.0170068027210884"
149,"0","0.0174880763116057"
150,"0","0.016366612111293"
